screenshot_id,captured_at_local,source_order,team_a,team_b,market_type,selection,selection_side,line,price,probability_source,market_no_vig_probability,model_ev,positive_probability,non_loss_probability,full_loss_probability,low_score_density_le_2,high_score_density_ge_4,team_a_win_probability,draw_probability,team_b_win_probability,team_a_rating_std_log_xg,team_b_rating_std_log_xg,most_likely_score,strategy_tier,risk_flags,strategy_reasons
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T12:00:00+08:00,25,Czechia,South Africa,asian_handicap,Czechia -0.5,team_a,-0.5,0.89,data/processed/match_robust_score_probabilities.csv,0.5129,-0.1504,0.4495,0.4495,0.5505,0.4644,0.3198,0.449518,0.246140,0.304342,0.1528,0.1758,1-1,C,high_full_loss_probability;below_market_probability,
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T12:00:00+08:00,25,Czechia,South Africa,asian_handicap,South Africa +0.5,team_b,0.5,0.99,data/processed/match_robust_score_probabilities.csv,0.4871,0.0955,0.5505,0.5505,0.4495,0.4644,0.3198,0.449518,0.246140,0.304342,0.1528,0.1758,1-1,B,underdog_handicap_cap,
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T12:00:00+08:00,25,Czechia,South Africa,total,Over 2/2.5,over,2.25,0.89,data/processed/match_robust_score_probabilities.csv,0.5116,0.1280,0.5356,0.5356,0.2328,0.4644,0.3198,0.449518,0.246140,0.304342,0.1528,0.1758,1-1,C,over_low_score_density,positive_model_ev
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T12:00:00+08:00,25,Czechia,South Africa,total,Under 2/2.5,under,2.25,0.98,data/processed/match_robust_score_probabilities.csv,0.4884,-0.1939,0.4644,0.4644,0.5356,0.4644,0.3198,0.449518,0.246140,0.304342,0.1528,0.1758,1-1,C,high_full_loss_probability,
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T15:00:00+08:00,26,Switzerland,Bosnia and Herzegovina,asian_handicap,Switzerland -1,team_a,-1,0.99,data/processed/match_robust_score_probabilities.csv,0.4871,-0.1785,0.2849,0.5395,0.4605,0.5771,0.2210,0.539485,0.257332,0.203183,0.1459,0.1772,1-0,C,below_market_probability,
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T15:00:00+08:00,26,Switzerland,Bosnia and Herzegovina,asian_handicap,Bosnia and Herzegovina +1,team_b,1,0.89,data/processed/match_robust_score_probabilities.csv,0.5129,0.1250,0.4605,0.7151,0.2849,0.5771,0.2210,0.539485,0.257332,0.203183,0.1459,0.1772,1-0,C,underdog_handicap_cap;underdog_blowout_tail;below_market_probability,positive_model_ev;strong_non_loss_profile
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T15:00:00+08:00,26,Switzerland,Bosnia and Herzegovina,total,Over 2.5,over,2.5,1.02,data/processed/match_robust_score_probabilities.csv,0.4780,-0.1458,0.4229,0.4229,0.5771,0.5771,0.2210,0.539485,0.257332,0.203183,0.1459,0.1772,1-0,C,over_low_score_density;high_full_loss_probability;below_market_probability,
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T15:00:00+08:00,26,Switzerland,Bosnia and Herzegovina,total,Under 2.5,under,2.5,0.85,data/processed/match_robust_score_probabilities.csv,0.5220,0.0677,0.5771,0.5771,0.4229,0.5771,0.2210,0.539485,0.257332,0.203183,0.1459,0.1772,1-0,B,,
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T18:00:00+08:00,27,Canada,Qatar,asian_handicap,Canada -1.5,team_a,-1.5,0.89,data/processed/match_robust_score_probabilities.csv,0.5129,-0.3040,0.3682,0.3682,0.6318,0.4403,0.3442,0.604944,0.213011,0.182045,0.1588,0.2079,1-0,C,high_full_loss_probability;below_market_probability,
6be702d5901caf9e1c9da891c2ddc9c7,2026-06-19T18:00:00+08:00,27,Canada,Qatar,asian_handicap,Qatar +1.5,team_b,1.5,0.99,data/processed/match_robust_score_probabilities.csv,0.4871,0.2572,0.6318,0.6318,0.3682,0.4403,0.3442,0.604944,0.213011,0.182045,0.1588,0.2079,1-0,C,underdog_handicap_cap;underdog_blowout_tail,positive_model_ev;strong_non_loss_profile
