source_order,group,date_china,time_china,team_a,team_b,team_a_canonical,team_b_canonical,team_a_attack_rating,team_a_defense_rating,team_b_attack_rating,team_b_defense_rating,team_a_power_rating,team_b_power_rating,team_a_expected_goals,team_b_expected_goals,total_expected_goals,input_notes
27,B,2026-06-19,06:00,Canada,Qatar,Canada,Qatar,63.46,68.27,45.13,33.95,70.43,44.61,1.981,0.933,2.915,xG from blended power/phase ratings; tactical/context data can further adjust totals.
28,A,2026-06-19,09:00,Mexico,South Korea,Mexico,Korea Republic,63.62,66.88,64.04,59.95,73.77,68.96,1.516,1.299,2.815,xG from blended power/phase ratings; tactical/context data can further adjust totals.
29,D,2026-06-20,03:00,United States,Australia,USA,Australia,63.19,48.98,60.70,61.38,66.86,67.83,1.483,1.561,3.044,xG from blended power/phase ratings; tactical/context data can further adjust totals.
30,C,2026-06-20,06:00,Scotland,Morocco,Scotland,Morocco,45.05,37.19,74.18,78.19,32.00,79.06,0.753,2.016,2.769,xG from blended power/phase ratings; tactical/context data can further adjust totals.
31,C,2026-06-20,08:30,Brazil,Haiti,Brazil,Haiti,74.57,68.10,62.21,49.61,82.17,57.07,1.799,1.244,3.043,xG from blended power/phase ratings; tactical/context data can further adjust totals.
32,D,2026-06-20,11:00,Turkiye,Paraguay,Türkiye,Paraguay,74.46,64.24,58.62,60.48,78.72,69.25,1.602,1.249,2.850,xG from blended power/phase ratings; tactical/context data can further adjust totals.
33,F,2026-06-21,01:00,Netherlands,Sweden,Netherlands,Sweden,81.73,68.82,68.42,51.70,82.51,66.71,1.891,1.343,3.233,xG from blended power/phase ratings; tactical/context data can further adjust totals.
34,E,2026-06-21,04:00,Germany,Ivory Coast,Germany,Côte D'Ivoire,88.56,74.98,63.98,67.10,88.29,67.06,1.736,1.152,2.888,xG from blended power/phase ratings; tactical/context data can further adjust totals.
35,E,2026-06-21,08:00,Ecuador,Curacao,Ecuador,Curaçao,57.70,71.69,55.24,46.91,73.62,50.24,1.544,1.054,2.598,xG from blended power/phase ratings; tactical/context data can further adjust totals.
36,F,2026-06-21,12:00,Tunisia,Japan,Tunisia,Japan,58.54,53.76,78.15,76.02,60.42,80.72,1.035,1.789,2.824,xG from blended power/phase ratings; tactical/context data can further adjust totals.
37,H,2026-06-22,00:00,Spain,Saudi Arabia,Spain,Saudi Arabia,93.90,81.17,51.41,48.79,97.79,56.02,2.162,0.814,2.976,xG from blended power/phase ratings; tactical/context data can further adjust totals.
38,G,2026-06-22,03:00,Belgium,Iran,Belgium,IR Iran,81.26,65.96,64.91,63.24,79.28,68.79,1.674,1.331,3.005,xG from blended power/phase ratings; tactical/context data can further adjust totals.
39,H,2026-06-22,06:00,Uruguay,Cape Verde,Uruguay,Cabo Verde,54.34,61.12,48.91,48.90,68.02,52.32,1.448,1.130,2.578,xG from blended power/phase ratings; tactical/context data can further adjust totals.
40,G,2026-06-22,09:00,New Zealand,Egypt,New Zealand,Egypt,62.40,49.11,56.65,61.59,58.04,63.99,1.365,1.486,2.850,xG from blended power/phase ratings; tactical/context data can further adjust totals.
41,J,2026-06-23,01:00,Argentina,Austria,Argentina,Austria,83.95,83.86,75.48,69.74,91.61,76.48,1.606,1.199,2.805,xG from blended power/phase ratings; tactical/context data can further adjust totals.
42,I,2026-06-23,05:00,France,Iraq,France,Iraq,83.17,71.60,49.41,51.59,89.07,56.60,1.918,0.951,2.869,xG from blended power/phase ratings; tactical/context data can further adjust totals.
43,I,2026-06-23,08:00,Norway,Senegal,Norway,Senegal,86.83,70.54,78.92,72.16,83.76,80.48,1.614,1.501,3.115,xG from blended power/phase ratings; tactical/context data can further adjust totals.
44,J,2026-06-23,11:00,Jordan,Algeria,Jordan,Algeria,57.14,45.51,70.76,69.12,58.88,73.13,1.134,1.805,2.939,xG from blended power/phase ratings; tactical/context data can further adjust totals.
45,K,2026-06-24,01:00,Portugal,Uzbekistan,Portugal,Uzbekistan,79.95,70.28,55.21,61.01,83.09,63.40,1.691,1.079,2.770,xG from blended power/phase ratings; tactical/context data can further adjust totals.
46,L,2026-06-24,04:00,England,Ghana,England,Ghana,86.16,84.71,53.12,49.67,90.74,53.50,2.007,0.781,2.788,xG from blended power/phase ratings; tactical/context data can further adjust totals.
47,L,2026-06-24,07:00,Panama,Croatia,Panama,Croatia,60.02,51.49,73.08,64.74,62.72,77.24,1.265,1.739,3.004,xG from blended power/phase ratings; tactical/context data can further adjust totals.
48,K,2026-06-24,10:00,Colombia,DR Congo,Colombia,Congo DR,68.04,60.02,58.94,65.27,75.37,64.84,1.400,1.331,2.730,xG from blended power/phase ratings; tactical/context data can further adjust totals.
49,B,2026-06-25,03:00,Switzerland,Canada,Switzerland,Canada,74.20,61.58,63.46,68.27,77.00,70.43,1.457,1.484,2.941,xG from blended power/phase ratings; tactical/context data can further adjust totals.
50,B,2026-06-25,03:00,Bosnia and Herzegovina,Qatar,Bosnia And Herzegovina,Qatar,32.75,62.75,45.13,33.95,43.93,44.61,1.328,1.033,2.361,xG from blended power/phase ratings; tactical/context data can further adjust totals.
51,C,2026-06-25,06:00,Morocco,Haiti,Morocco,Haiti,74.18,78.19,62.21,49.61,79.06,57.07,1.792,1.062,2.855,xG from blended power/phase ratings; tactical/context data can further adjust totals.
52,C,2026-06-25,06:00,Scotland,Brazil,Scotland,Brazil,45.05,37.19,74.57,68.10,32.00,82.17,0.935,2.023,2.958,xG from blended power/phase ratings; tactical/context data can further adjust totals.
53,A,2026-06-25,09:00,South Africa,South Korea,South Africa,Korea Republic,55.02,57.41,64.04,59.95,56.96,68.96,1.261,1.469,2.731,xG from blended power/phase ratings; tactical/context data can further adjust totals.
54,A,2026-06-25,09:00,Czechia,Mexico,Czechia,Mexico,68.46,58.41,63.62,66.88,69.36,73.77,1.378,1.544,2.922,xG from blended power/phase ratings; tactical/context data can further adjust totals.
55,E,2026-06-26,04:00,Curacao,Ivory Coast,Curaçao,Côte D'Ivoire,55.24,46.91,63.98,67.10,50.24,67.06,1.137,1.657,2.794,xG from blended power/phase ratings; tactical/context data can further adjust totals.
56,E,2026-06-26,04:00,Ecuador,Germany,Ecuador,Germany,57.70,71.69,88.56,74.98,73.62,88.29,1.039,1.654,2.693,xG from blended power/phase ratings; tactical/context data can further adjust totals.
57,F,2026-06-26,07:00,Japan,Sweden,Japan,Sweden,78.15,76.02,68.42,51.70,80.72,66.71,1.826,1.213,3.039,xG from blended power/phase ratings; tactical/context data can further adjust totals.
58,F,2026-06-26,07:00,Tunisia,Netherlands,Tunisia,Netherlands,58.54,53.76,81.73,68.82,60.42,82.51,1.165,1.853,3.018,xG from blended power/phase ratings; tactical/context data can further adjust totals.
59,D,2026-06-26,10:00,Paraguay,Australia,Paraguay,Australia,58.62,60.48,60.70,61.38,69.25,67.83,1.300,1.354,2.654,xG from blended power/phase ratings; tactical/context data can further adjust totals.
60,D,2026-06-26,10:00,Turkiye,United States,Türkiye,USA,74.46,64.24,63.19,48.98,78.72,66.86,1.809,1.431,3.240,xG from blended power/phase ratings; tactical/context data can further adjust totals.
61,I,2026-06-27,03:00,Norway,France,Norway,France,86.83,70.54,83.17,71.60,83.76,89.07,1.624,1.577,3.201,xG from blended power/phase ratings; tactical/context data can further adjust totals.
62,I,2026-06-27,03:00,Senegal,Iraq,Senegal,Iraq,78.92,72.16,49.41,51.59,80.48,56.60,1.842,0.941,2.782,xG from blended power/phase ratings; tactical/context data can further adjust totals.
63,H,2026-06-27,08:00,Cape Verde,Saudi Arabia,Cabo Verde,Saudi Arabia,48.91,48.90,51.41,48.79,52.32,56.02,1.352,1.395,2.747,xG from blended power/phase ratings; tactical/context data can further adjust totals.
64,H,2026-06-27,08:00,Uruguay,Spain,Uruguay,Spain,54.34,61.12,93.90,81.17,68.02,97.79,0.867,1.940,2.807,xG from blended power/phase ratings; tactical/context data can further adjust totals.
65,G,2026-06-27,11:00,Egypt,Iran,Egypt,IR Iran,56.65,61.59,64.91,63.24,63.99,68.79,1.231,1.410,2.641,xG from blended power/phase ratings; tactical/context data can further adjust totals.
66,G,2026-06-27,11:00,New Zealand,Belgium,New Zealand,Belgium,62.40,49.11,81.26,65.96,58.04,79.28,1.286,1.929,3.215,xG from blended power/phase ratings; tactical/context data can further adjust totals.
67,L,2026-06-28,05:00,Croatia,Ghana,Croatia,Ghana,73.08,64.74,53.12,49.67,77.24,53.50,1.771,1.141,2.912,xG from blended power/phase ratings; tactical/context data can further adjust totals.
68,L,2026-06-28,05:00,Panama,England,Panama,England,60.02,51.49,86.16,84.71,62.72,90.74,0.906,1.974,2.880,xG from blended power/phase ratings; tactical/context data can further adjust totals.
69,K,2026-06-28,07:30,Colombia,Portugal,Colombia,Portugal,68.04,60.02,79.95,70.28,75.37,83.09,1.310,1.709,3.018,xG from blended power/phase ratings; tactical/context data can further adjust totals.
70,K,2026-06-28,07:30,DR Congo,Uzbekistan,Congo DR,Uzbekistan,58.94,65.27,55.21,61.01,64.84,63.40,1.313,1.169,2.482,xG from blended power/phase ratings; tactical/context data can further adjust totals.
71,J,2026-06-28,10:00,Algeria,Austria,Algeria,Austria,70.76,69.12,75.48,69.74,73.13,76.48,1.368,1.464,2.833,xG from blended power/phase ratings; tactical/context data can further adjust totals.
72,J,2026-06-28,10:00,Jordan,Argentina,Jordan,Argentina,57.14,45.51,83.95,83.86,58.88,91.61,0.869,2.042,2.911,xG from blended power/phase ratings; tactical/context data can further adjust totals.
