group_type,group_value,recommendations,positive_settlements,non_loss_settlements,negative_settlements,positive_rate,non_loss_rate,net_units,roi_per_unit_stake
all,all,16,6,8,8,0.3750,0.5000,-2.7700,-0.1731
market_type,asian_handicap,7,3,4,3,0.4286,0.5714,-0.5800,-0.0829
market_type,total,9,3,4,5,0.3333,0.4444,-2.1900,-0.2433
set_id,matches_21_24,4,2,2,2,0.5000,0.5000,-0.1300,-0.0325
set_id,matches_25_28,4,0,0,4,0.0000,0.0000,-4.0000,-1.0000
set_id,matches_29_32,4,2,2,2,0.5000,0.5000,-0.5200,-0.1300
set_id,matches_33_36,4,2,4,0,0.5000,1.0000,1.8800,0.4700
