team,team_code,recent_matches,recent_wins,recent_draws,recent_losses,recent_goals_for,recent_goals_against,avg_goals_for,avg_goals_against,points_per_match,strength_of_schedule,raw_form_score,form_rating,latest_match_date,source,source_checked_at
Congo DR,COD,20,13,3,4,28,11,1.400,0.550,2.100,1549.7,50.435,70.35,2026-06-03,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Tunisia,TUN,20,9,6,5,33,21,1.650,1.050,1.650,1599.0,43.800,61.10,2026-06-06,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Iraq,IRQ,20,10,4,6,21,20,1.050,1.000,1.700,1584.0,38.302,53.43,2026-06-04,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Bosnia And Herzegovina,BIH,0,0,0,0,0,0,0.000,0.000,0.000,1500.0,0.000,0.00,,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Cabo Verde,CPV,20,8,7,5,27,19,1.350,0.950,1.550,1533.2,36.410,50.79,2026-06-06,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Saudi Arabia,KSA,20,8,3,9,22,25,1.100,1.250,1.350,1644.0,33.748,47.08,2026-06-05,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
New Zealand,NZL,20,8,2,10,43,25,2.150,1.250,1.300,1662.4,44.270,61.75,2026-06-06,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Haiti,HAI,20,10,4,6,45,23,2.250,1.150,1.700,1521.0,46.097,64.30,2026-06-05,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
South Africa,RSA,20,10,6,4,29,15,1.450,0.750,1.800,1532.8,43.290,60.39,2026-06-06,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Ghana,GHA,20,6,5,9,27,23,1.350,1.150,1.150,1590.0,30.653,42.76,2026-06-02,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Curaçao,CUW,20,9,6,5,40,21,2.000,1.050,1.650,1498.3,42.265,58.96,2026-06-06,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Qatar,QAT,20,4,7,9,22,35,1.100,1.750,0.950,1541.8,17.940,25.03,2026-06-06,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Scotland,SCO,20,10,2,8,34,24,1.700,1.200,1.600,1616.2,43.208,60.27,2026-06-06,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
