source_order,group,date_china,time_china,team_a,team_b,team_a_expected_goals,team_b_expected_goals,total_expected_goals,team_a_win_probability,draw_probability,team_b_win_probability,over_2_5_probability,under_2_5_probability,most_likely_score,most_likely_score_probability,captured_probability_mass
41,J,2026-06-23,01:00,Argentina,Austria,1.606,1.199,2.805,0.468248,0.246681,0.285071,0.531713,0.468287,1-1,0.116517,0.999948
42,I,2026-06-23,05:00,France,Iraq,1.918,0.951,2.869,0.599813,0.218266,0.181920,0.546750,0.453250,1-0,0.108876,0.999824
43,I,2026-06-23,08:00,Norway,Senegal,1.614,1.501,3.115,0.405674,0.237481,0.356846,0.602045,0.397955,1-1,0.107520,0.999924
44,J,2026-06-23,11:00,Jordan,Algeria,1.134,1.805,2.939,0.238208,0.231049,0.530743,0.562955,0.437045,1-1,0.108330,0.999885
45,K,2026-06-24,01:00,Portugal,Uzbekistan,1.691,1.079,2.770,0.516787,0.241035,0.242178,0.523331,0.476669,1-1,0.114341,0.999929
46,L,2026-06-24,04:00,England,Ghana,2.007,0.781,2.788,0.660504,0.203136,0.136360,0.527566,0.472434,2-0,0.123982,0.999756
47,L,2026-06-24,07:00,Panama,Croatia,1.265,1.739,3.004,0.278980,0.235558,0.485462,0.577667,0.422333,1-1,0.109096,0.999908
48,K,2026-06-24,10:00,Colombia,DR Congo,1.400,1.331,2.730,0.387661,0.256308,0.356031,0.513925,0.486075,1-1,0.121411,0.999973
49,B,2026-06-25,03:00,Switzerland,Canada,1.457,1.484,2.941,0.371131,0.245759,0.383109,0.563442,0.436558,1-1,0.114197,0.999952
50,B,2026-06-25,03:00,Bosnia and Herzegovina,Qatar,1.328,1.033,2.361,0.434031,0.275483,0.290486,0.420062,0.579938,1-1,0.129400,0.999988
51,C,2026-06-25,06:00,Morocco,Haiti,1.792,1.062,2.855,0.544694,0.231897,0.223409,0.543269,0.456731,1-1,0.109656,0.999892
52,C,2026-06-25,06:00,Scotland,Brazil,0.935,2.023,2.958,0.166344,0.207637,0.626019,0.567223,0.432777,0-2,0.106275,0.999741
53,A,2026-06-25,09:00,South Africa,South Korea,1.261,1.469,2.731,0.324922,0.254941,0.420136,0.513681,0.486319,1-1,0.120817,0.999969
54,A,2026-06-25,09:00,Czechia,Mexico,1.378,1.544,2.922,0.340229,0.245763,0.414007,0.559088,0.440912,1-1,0.114527,0.999951
55,E,2026-06-26,04:00,Curacao,Ivory Coast,1.137,1.657,2.794,0.261508,0.243542,0.494950,0.529086,0.470914,1-1,0.115263,0.999938
56,E,2026-06-26,04:00,Ecuador,Germany,1.039,1.654,2.693,0.238050,0.244604,0.517346,0.504630,0.495370,1-1,0.116311,0.999940
57,F,2026-06-26,07:00,Japan,Sweden,1.826,1.213,3.039,0.517390,0.229339,0.253271,0.585438,0.414562,1-1,0.106071,0.999873
58,F,2026-06-26,07:00,Tunisia,Netherlands,1.165,1.853,3.018,0.238321,0.227138,0.534541,0.580772,0.419228,1-1,0.105575,0.999860
59,D,2026-06-26,10:00,Paraguay,Australia,1.300,1.354,2.654,0.357133,0.260665,0.382203,0.495030,0.504970,1-1,0.123867,0.999978
60,D,2026-06-26,10:00,Turkiye,United States,1.809,1.431,3.240,0.465610,0.228454,0.305936,0.628332,0.371668,1-1,0.101396,0.999867
61,I,2026-06-27,03:00,Norway,France,1.624,1.577,3.201,0.392943,0.234182,0.372875,0.620270,0.379730,1-1,0.104299,0.999909
62,I,2026-06-27,03:00,Senegal,Iraq,1.842,0.941,2.782,0.585414,0.225538,0.189048,0.526422,0.473578,1-0,0.113948,0.999869
63,H,2026-06-27,08:00,Cape Verde,Saudi Arabia,1.352,1.395,2.747,0.362393,0.255551,0.382056,0.517804,0.482196,1-1,0.120936,0.999972
64,H,2026-06-27,08:00,Uruguay,Spain,0.867,1.940,2.807,0.161235,0.213583,0.625182,0.532124,0.467876,0-1,0.117171,0.999809
65,G,2026-06-27,11:00,Egypt,Iran,1.231,1.410,2.641,0.328266,0.260289,0.411445,0.491802,0.508198,1-1,0.123742,0.999977
66,G,2026-06-27,11:00,New Zealand,Belgium,1.286,1.929,3.215,0.254313,0.221537,0.524150,0.623146,0.376854,1-1,0.099632,0.999809
67,L,2026-06-28,05:00,Croatia,Ghana,1.771,1.141,2.912,0.521217,0.233918,0.244865,0.556764,0.443236,1-1,0.109871,0.999899
68,L,2026-06-28,05:00,Panama,England,0.906,1.974,2.880,0.165739,0.211453,0.622807,0.549297,0.450703,0-1,0.110834,0.999784
69,K,2026-06-28,07:30,Colombia,Portugal,1.310,1.709,3.018,0.294563,0.237007,0.468431,0.581018,0.418982,1-1,0.109374,0.999916
70,K,2026-06-28,07:30,DR Congo,Uzbekistan,1.313,1.169,2.482,0.399223,0.270336,0.330441,0.451554,0.548446,1-1,0.128282,0.999986
71,J,2026-06-28,10:00,Algeria,Austria,1.368,1.464,2.833,0.352931,0.250840,0.396229,0.538122,0.461878,1-1,0.117956,0.999963
72,J,2026-06-28,10:00,Jordan,Argentina,0.869,2.042,2.911,0.150738,0.203342,0.645920,0.556455,0.443545,0-2,0.113493,0.999724
