team,team_code,head_coach,head_coach_raw,coach_nationality,source,source_checked_at
Netherlands,NED,Ronald KOEMAN,Head coach KOEMAN Ronald Ronald KOEMAN Netherlands,Netherlands,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
New Zealand,NZL,Darren BAZELEY,Head coach BAZELEY Darren Darren Shaun BAZELEY New Zealand,New Zealand,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Norway,NOR,Stale SOLBAKKEN,Head coach SOLBAKKEN Stale Ståle SOLBAKKEN Norway,Norway,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Panama,PAN,Thomas CHRISTIANSEN,Head coach CHRISTIANSEN Thomas Thomas CHRISTIANSEN TARIN Spain,Spain,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Paraguay,PAR,Gustavo ALFARO,Head coach ALFARO Gustavo Gustavo Julio ALFARO Argentina,Argentina,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Portugal,POR,Roberto MARTINEZ,Head coach MARTINEZ Roberto Roberto MARTÍNEZ MONTOLIU Spain,Spain,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Qatar,QAT,Julen LOPETEGUI,Head coach LOPETEGUI Julen Julian LOPETEGUI ARGOTE Spain,Spain,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Saudi Arabia,KSA,Georgios DONIS,Head coach DONIS Georgios Georgios DONIS Greece,Greece,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Scotland,SCO,Steve CLARKE,Head coach CLARKE Steve Stephen CLARKE Scotland,Scotland,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Senegal,SEN,Pape THIAW,Head coach THIAW Pape Pape Bouna THIAW Senegal,Senegal,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
South Africa,RSA,Hugo BROOS,Head coach BROOS Hugo Hugo Henri BROOS Belgium,Belgium,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Spain,ESP,Luis DE LA FUENTE,Head coach DE LA FUENTE Luis Luis DE LA FUENTE CASTILLO Spain,Spain,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Sweden,SWE,Graham POTTER,Head coach POTTER Graham Graham Stephen POTTER England,England,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Switzerland,SUI,Murat YAKIN,Head coach YAKIN Murat Murat YAKIN Switzerland,Switzerland,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Tunisia,TUN,Sabri LAMOUCHI,Head coach LAMOUCHI Sabri Sabri LAMOUCHI France,France,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Türkiye,TUR,Vincenzo MONTELLA,Head coach MONTELLA Vincenzo Vincenzo MONTELLA Italy,Italy,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Uruguay,URU,Marcelo BIELSA,Head coach BIELSA Marcelo Marcelo Alberto BIELSA Argentina,Argentina,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
USA,USA,Mauricio POCHETTINO,Head coach POCHETTINO Mauricio Mauricio Roberto POCHETTINO TROSSERO Argentina,Argentina,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Uzbekistan,UZB,Fabio CANNAVARO,Head coach CANNAVARO Fabio Fabio CANNAVARO Italy,Italy,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
